0, 0, 0, I, I, I, 1, 0, 0, 1.0
0, 0, 0, I, I, X, 0, 0, 1, 0.0
0, 0, 0, I, I, Y, 0, 0, 1, 0.0
0, 0, 0, I, I, Z, 1, 0, 0, 1.0
0, 0, 0, I, I, 0, 1, 0, 0, 1.0
0, 0, 0, I, I, 1, 0, 0, 0, 0.0
0, 0, 0, I, I, +, 1, 0, 1, 0.5
0, 0, 0, I, I, -, 1, 0, 1, 0.5
0, 0, 0, I, I, i, 1, 0, 1, 0.5
0, 0, 0, I, I, j, 1, 0, 1, 0.5
0, 0, 0, I, X, I, 0, 0, 1, 0.0
0, 0, 0, I, X, X, 0, 0, 2, 0.0
0, 0, 0, I, X, Y, 0, 0, 2, 0.0
0, 0, 0, I, X, Z, 0, 0, 1, 0.0
0, 0, 0, I, X, 0, 0, 0, 1, 0.0
0, 0, 0, I, X, 1, 0, 0, 1, 0.0
0, 0, 0, I, X, +, 0, 0, 2, 0.0
0, 0, 0, I, X, -, 0, 0, 2, 0.0
0, 0, 0, I, X, i, 0, 0, 2, 0.0
0, 0, 0, I, X, j, 0, 0, 2, 0.0
0, 0, 0, I, Y, I, 0, 0, 1, 0.0
0, 0, 0, I, Y, X, 0, 0, 2, 0.0
0, 0, 0, I, Y, Y, 0, 0, 2, 0.0
0, 0, 0, I, Y, Z, 0, 0, 1, 0.0
0, 0, 0, I, Y, 0, 0, 0, 1, 0.0
0, 0, 0, I, Y, 1, 0, 0, 1, 0.0
0, 0, 0, I, Y, +, 0, 0, 2, 0.0
0, 0, 0, I, Y, -, 0, 0, 2, 0.0
0, 0, 0, I, Y, i, 0, 0, 2, 0.0
0, 0, 0, I, Y, j, 0, 0, 2, 0.0
0, 0, 0, I, Z, I, 1, 0, 0, 1.0
0, 0, 0, I, Z, X, 0, 0, 1, 0.0
0, 0, 0, I, Z, Y, 0, 0, 1, 0.0
0, 0, 0, I, Z, Z, 1, 0, 0, 1.0
0, 0, 0, I, Z, 0, 1, 0, 0, 1.0
0, 0, 0, I, Z, 1, 0, 0, 0, 0.0
0, 0, 0, I, Z, +, 1, 0, 1, 0.5
0, 0, 0, I, Z, -, 1, 0, 1, 0.5
0, 0, 0, I, Z, i, 1, 0, 1, 0.5
0, 0, 0, I, Z, j, 1, 0, 1, 0.5
0, 0, 0, I, 0, I, 1, 0, 0, 1.0
0, 0, 0, I, 0, X, 0, 0, 1, 0.0
0, 0, 0, I, 0, Y, 0, 0, 1, 0.0
0, 0, 0, I, 0, Z, 1, 0, 0, 1.0
0, 0, 0, I, 0, 0, 1, 0, 0, 1.0
0, 0, 0, I, 0, 1, 0, 0, 0, 0.0
0, 0, 0, I, 0, +, 1, 0, 1, 0.5
0, 0, 0, I, 0, -, 1, 0, 1, 0.5
0, 0, 0, I, 0, i, 1, 0, 1, 0.5
0, 0, 0, I, 0, j, 1, 0, 1, 0.5
0, 0, 0, I, 1, I, 0, 0, 0, 0.0
0, 0, 0, I, 1, X, 0, 0, 1, 0.0
0, 0, 0, I, 1, Y, 0, 0, 1, 0.0
0, 0, 0, I, 1, Z, 0, 0, 0, 0.0
0, 0, 0, I, 1, 0, 0, 0, 0, 0.0
0, 0, 0, I, 1, 1, 0, 0, 0, 0.0
0, 0, 0, I, 1, +, 0, 0, 1, 0.0
0, 0, 0, I, 1, -, 0, 0, 1, 0.0
0, 0, 0, I, 1, i, 0, 0, 1, 0.0
0, 0, 0, I, 1, j, 0, 0, 1, 0.0
